sid,ug_id,payoff_p,payoff_r,c1,c2,c3,c4,c5,c6,r1,r2,r3,r4,r5,r6,reward_punish,pgoesleft_kind
12010050501,1,600,600,10,20,30,10,20,30,100,200,300,-100,-200,-300,0,1
12010050501,1,900,300,10,20,30,10,20,30,100,200,300,-100,-200,-300,-100,0
12010050501,2,500,700,10,20,30,10,20,30,100,200,300,-100,-200,-300,0,1
12010050501,2,700,500,10,20,30,10,20,30,100,200,300,-100,-200,-300,0,0
12010050502,1,600,600,10,20,30,10,20,30,100,200,300,-100,-200,-300,100,1
12010050502,1,900,300,10,20,30,10,20,30,100,200,300,-100,-200,-300,-300,0
12010050502,2,500,700,10,20,30,10,20,30,100,200,300,-100,-200,-300,200,1
12010050502,2,700,500,10,20,30,10,20,30,100,200,300,-100,-200,-300,-300,0
12010050603,1,600,600,10,20,30,10,20,30,100,200,300,-100,-200,-300,300,1
12010050603,1,900,300,10,20,30,10,20,30,100,200,300,-100,-200,-300,-300,0
12010050603,2,500,700,10,20,30,10,20,30,100,200,300,-100,-200,-300,300,1
12010050603,2,700,500,10,20,30,10,20,30,100,200,300,-100,-200,-300,-300,0
12010050704,1,600,600,10,20,30,10,20,30,100,200,300,-100,-200,-300,100,1
12010050704,1,900,300,10,20,30,10,20,30,100,200,300,-100,-200,-300,-100,0
12010050704,2,500,700,10,20,30,10,20,30,100,200,300,-100,-200,-300,200,1
12010050704,2,700,500,10,20,30,10,20,30,100,200,300,-100,-200,-300,-200,0
12010050705,1,600,600,10,20,30,10,20,30,100,200,300,-100,-200,-300,300,1
12010050705,1,900,300,10,20,30,10,20,30,100,200,300,-100,-200,-300,-200,0
12010050705,2,500,700,10,20,30,10,20,30,100,200,300,-100,-200,-300,200,1
12010050705,2,700,500,10,20,30,10,20,30,100,200,300,-100,-200,-300,-100,0
12010050706,1,600,600,10,20,30,10,20,30,100,200,300,-100,-200,-300,100,1
12010050706,1,900,300,10,20,30,10,20,30,100,200,300,-100,-200,-300,-200,0
12010050706,2,500,700,10,20,30,10,20,30,100,200,300,-100,-200,-300,100,1
12010050706,2,700,500,10,20,30,10,20,30,100,200,300,-100,-200,-300,-200,0
12010051907,1,600,600,10,20,30,10,20,30,100,200,300,-100,-200,-300,300,1
12010051907,1,900,300,10,20,30,10,20,30,100,200,300,-100,-200,-300,300,0
12010051907,2,500,700,10,20,30,10,20,30,100,200,300,-100,-200,-300,300,1
12010051907,2,700,500,10,20,30,10,20,30,100,200,300,-100,-200,-300,300,0
22010050501,1,600,600,10,20,30,10,20,30,100,200,300,-100,-200,-300,0,1
22010050501,1,900,300,10,20,30,10,20,30,100,200,300,-100,-200,-300,-300,0
22010050501,2,500,700,10,20,30,10,20,30,100,200,300,-100,-200,-300,100,1
22010050501,2,700,500,10,20,30,10,20,30,100,200,300,-100,-200,-300,-300,0
22010050603,1,600,600,10,20,30,10,20,30,100,200,300,-100,-200,-300,100,1
22010050603,1,900,300,10,20,30,10,20,30,100,200,300,-100,-200,-300,-300,0
22010050603,2,500,700,10,20,30,10,20,30,100,200,300,-100,-200,-300,300,1
22010050603,2,700,500,10,20,30,10,20,30,100,200,300,-100,-200,-300,-300,0
22010050704,1,600,600,10,20,30,10,20,30,100,200,300,-100,-200,-300,0,1
22010050704,1,900,300,10,20,30,10,20,30,100,200,300,-100,-200,-300,0,0
22010050704,2,500,700,10,20,30,10,20,30,100,200,300,-100,-200,-300,0,1
22010050704,2,700,500,10,20,30,10,20,30,100,200,300,-100,-200,-300,-300,0
22010050705,1,600,600,10,20,30,10,20,30,100,200,300,-100,-200,-300,0,1
22010050705,1,900,300,10,20,30,10,20,30,100,200,300,-100,-200,-300,-300,0
22010050705,2,500,700,10,20,30,10,20,30,100,200,300,-100,-200,-300,100,1
22010050705,2,700,500,10,20,30,10,20,30,100,200,300,-100,-200,-300,-100,0
22010050706,1,600,600,10,20,30,10,20,30,100,200,300,-100,-200,-300,0,1
22010050706,1,900,300,10,20,30,10,20,30,100,200,300,-100,-200,-300,-300,0
22010050706,2,500,700,10,20,30,10,20,30,100,200,300,-100,-200,-300,100,1
