sid,gid,dg,order,self_x,self_y,other_x,other_y,choice_x,q,v,s_y,s_x,r_y,r_x
102010050706,361,1,1,940,800,150,510,0,0,0,0,0,1,1
102010050706,281,1,2,970,770,490,170,0,0,0,0,0,1,1
102010050706,391,1,3,1060,680,330,330,1,0,0,0,0,1,1
102010050706,271,1,4,990,750,480,180,1,0,0,0,0,1,1
102010050706,311,1,5,930,810,510,150,0,0,0,0,0,1,1
102010050706,21,1,6,430,230,1030,710,1,0,0,1,1,0,0
102010050706,41,1,7,370,290,1060,680,0,0,0,1,1,0,0
102010050706,31,1,8,350,310,1060,680,0,0,0,1,1,0,0
102010050706,371,1,9,1010,730,190,470,1,0,0,0,0,1,1
102010050706,71,1,10,420,240,1040,700,1,0,0,1,1,0,0
102010050706,11,1,11,450,210,1020,720,1,0,0,1,1,0,0
102010050706,111,1,12,470,190,730,1010,0,0,0,1,1,0,0
102010050706,341,1,13,870,870,140,520,0,0,0,0,0,1,1
102010050706,101,1,14,400,260,690,1050,1,0,0,1,1,0,0
102010050706,91,1,15,350,310,680,1060,1,0,0,1,1,0,0
102010050706,321,1,16,950,790,510,150,1,0,0,0,0,1,1
102010050706,301,1,17,910,830,520,140,0,0,0,0,0,1,1
102010050706,51,1,18,390,270,1050,690,1,0,0,1,1,0,0
102010050706,81,1,19,330,330,680,1060,1,0,0,1,1,0,0
102010050706,351,1,20,890,850,140,520,0,0,0,0,0,1,1
102010050706,61,1,21,410,250,1050,690,1,0,0,1,1,0,0
102010050706,381,1,22,1050,690,270,390,0,0,0,0,0,1,1
102010050706,131,1,23,520,140,870,870,1,0,0,1,1,0,0
102010050706,291,1,24,890,850,520,140,0,0,0,0,0,1,1
102010050706,121,1,25,510,150,810,930,1,0,0,1,1,0,0
102010050706,331,1,26,960,780,500,160,1,0,0,0,0,1,1
102010050706,161,1,27,620,580,790,410,1,0,0,0,1,1,0
102010050706,231,1,28,670,530,420,780,0,0,0,1,0,0,1
102010050706,141,1,29,720,480,750,450,1,0,0,0,1,1,0
102010050706,151,1,30,700,500,760,440,1,0,0,0,1,1,0
102010050706,191,1,31,680,520,780,420,1,0,0,0,1,1,0
102010050706,241,1,32,740,460,460,740,1,0,0,1,0,0,1
102010050706,221,1,33,620,580,410,790,1,0,0,1,0,0,1
102010050706,261,1,34,790,410,600,600,0,0,0,1,0,0,1
102010050706,181,1,35,660,540,780,420,1,0,0,0,1,1,0
102010050706,201,1,36,690,510,770,430,1,0,0,0,1,1,0
102010050706,211,1,37,600,600,410,790,0,0,0,1,0,0,1
102010050706,171,1,38,640,560,790,410,0,0,0,0,1,1,0
102010050706,251,1,39,780,420,540,660,1,0,0,1,0,0,1
112010050603,11,1,1,450,210,1020,720,1,0,0,1,1,0,0
112010050603,61,1,2,410,250,1050,690,1,0,0,1,1,0,0
112010050603,391,1,3,1060,680,330,330,1,0,0,0,0,1,1
112010050603,111,1,4,470,190,730,1010,1,0,0,1,1,0,0
112010050603,21,1,5,430,230,1030,710,1,0,0,1,1,0,0
112010050603,71,1,6,420,240,1040,700,1,0,0,1,1,0,0
112010050603,271,1,7,990,750,480,180,1,0,0,0,0,1,1
112010050603,371,1,8,1010,730,190,470,1,0,0,0,0,1,1
112010050603,361,1,9,940,800,150,510,1,0,0,0,0,1,1
112010050603,301,1,10,910,830,520,140,1,0,0,0,0,1,1
112010050603,281,1,11,970,770,490,170,1,0,0,0,0,1,1
112010050603,91,1,12,350,310,680,1060,1,0,0,1,1,0,0
