sid,bf_consciousness,bf_openness,bf_extraversion,bf_agreeableness,bf_neuroticism,cogabil,pe_D1_stud_natsci,pe_D1_stud_law,pe_D1_stud_socsci,pe_D1_stud_med,pe_monthinc,pe_age,pe_female
12010050501,9,17,4,11,-1,3,1,0,0,0,400,21,1
12010050502,5,22,4,7,7,7,1,0,0,0,800,21,0
12010050603,4,18,4,9,7,3,0,0,1,0,800,23,0
12010050704,8,17,1,10,7,9,1,0,0,0,500,22,0
12010050705,10,15,-3,12,0,4,0,0,0,1,350,19,1
12010050706,7,23,10,6,4,6,0,1,0,0,300,20,1
12010051907,5,18,3,7,-1,11,1,0,0,0,500,23,0
22010050501,1,25,2,10,6,4,1,0,0,0,800,21,0
22010050603,6,20,10,5,3,7,1,0,0,0,500,21,0
22010050704,5,19,4,6,2,7,1,0,0,0,200,20,1
22010050705,7,18,7,10,3,6,1,0,0,0,350,20,1
22010050706,3,13,11,10,9,6,1,0,0,0,200,21,1
22010051907,5,16,-2,10,8,6,1,0,0,0,200,26,0
32010050501,7,24,5,10,4,9,1,0,0,0,300,20,0
32010050502,10,26,5,3,3,10,1,0,0,0,550,19,1
32010050603,7,26,7,9,8,7,0,1,0,0,1000,21,1
32010050704,4,27,1,9,-4,10,0,0,1,0,450,20,1
32010050705,3,25,12,7,13,4,0,0,0,0,2300,24,0
32010050706,12,19,7,8,10,7,0,0,0,1,750,21,1
32010051907,4,20,6,7,4,8,0,1,0,0,300,22,0
42010050501,6,26,6,11,8,9,0,0,1,0,500,19,1
42010050502,10,25,8,12,1,8,1,0,0,0,300,21,1
42010050603,1,13,10,10,-4,9,1,0,0,0,700,18,0
42010050704,8,23,13,7,2,10,1,0,0,0,450,19,0
42010050705,6,24,9,11,1,7,0,1,0,0,800,20,0
42010050706,8,23,2,8,11,6,1,0,0,0,400,20,1
42010051907,9,26,13,8,0,11,1,0,0,0,600,20,1
52010050501,6,13,3,11,2,5,1,0,0,0,400,21,0
52010050502,9,23,2,8,9,9,0,0,0,1,300,22,1
52010050704,5,23,12,11,4,10,1,0,0,0,1200,21,1
52010050705,8,25,11,8,5,7,1,0,0,0,1000,31,1
52010050706,10,26,4,10,6,5,1,0,0,0,120,20,1
52010051907,5,22,3,7,8,5,1,0,0,0,400,21,1
62010050501,4,22,5,10,0,10,1,0,0,0,600,21,0
62010050502,7,19,7,5,0,8,1,0,0,0,100,20,0
62010050704,7,14,6,5,7,11,1,0,0,0,250,21,0
62010051907,12,26,6,12,4,6,1,0,0,0,200,19,1
72010050502,7,23,7,10,1,12,1,0,0,0,300,21,1
72010050603,7,23,8,5,3,4,0,0,1,0,800,24,0
72010050704,7,21,3,8,2,5,1,0,0,0,900,22,0
72010050705,10,20,4,10,5,6,1,0,0,0,250,20,0
72010050706,7,24,3,9,4,5,1,0,0,0,500,21,1
72010051907,5,22,2,10,-3,4,0,0,0,0,520,22,0
82010050501,9,20,11,5,6,6,1,0,0,0,1300,25,1
82010050502,10,17,2,9,1,9,0,0,1,0,1400,21,0
82010050603,10,17,10,12,-2,7,1,0,0,0,500,22,0
82010050704,9,21,9,9,0,8,1,0,0,0,900,22,0
82010050706,3,20,5,12,3,3,1,0,0,0,300,22,0
82010051907,7,20,13,6,7,4,1,0,0,0,800,21,1
92010050501,6,25,3,11,9,11,1,0,0,0,200,20,1
92010050502,11,12,3,3,6,8,0,0,0,1,160,20,1
92010050603,7,22,13,6,10,3,0,1,0,0,500,22,1
92010050704,5,24,5,1,-2,6,0,0,1,0,500,26,0
92010050705,9,23,-1,6,7,10,0,0,0,1,1500,38,0
92010050706,10,20,2,12,-2,4,1,0,0,0,600,20,1
92010051907,0,21,13,12,12,6,1,0,0,0,600,22,1
102010050501,6,24,8,0,1,5,1,0,0,0,250,21,1
102010050502,2,27,8,7,2,7,1,0,0,0,1200,19,0
102010050603,5,25,-1,11,4,8,1,0,0,0,150,19,1
102010050704,4,25,6,8,2,11,1,0,0,0,700,22,0
102010050705,9,19,6,10,-1,8,1,0,0,0,250,21,0
102010051907,7,24,9,8,-3,4,1,0,0,0,680,19,0
112010050501,7,11,3,8,8,6,1,0,0,0,500,23,1
