parameters,our_point_est,our_se,authors_point_est,authors_se
h0_v,0.38,0.0089,0.38,0.0089
h0_nv,0.36,0.0092,0.36,0.0092
r_v,0.38,0.0203,0.38,0.0204
r_nv,0.3,0.0183,0.3,0.0183
eta_v,0.17,0.1545,0.14,0.1232
eta_nv,0.18,0.2652,0.16,0.2987
mu_s_v,-22.75,2.8442,-22.6,2.958
mu_s_nv,-31.1,4.9122,-27.7,5.5938
sigma_s_v,26.5,5.3195,26.9,5.5176
sigma_s_nv,28.46,5.6799,24.7,6.6687
S_svy_v,1.33,1.1427,1.6,1.2084
S_svy_nv,1.09,1.5946,1.2,1.6149
timeval_v,46.55,10.3671,42.7,9.4438
timeval_nv,20.32,13.9636,23.9,15.1539
mu_sv,-4.3,1.4205,-3.9,1.4858
mu_sn,-11.92,2.131,-11.3,1.6422
sigma_si,9.88,2.0011,9.5,2.975
L_in,6.8,1.2318,7.6,1.5247
mu_eps,20.86,15.0609,64.1,61.9195
sigma_eps,137.93,66.1336,318.7,248.6525
