"1c PieceRate","10c PieceRate","No Payment","4c PieceRate","Gift Exchange","Very Low Pay","1c RedCross","10c RedCross","1c 2Wks","1c 4Wks","Gain 40c","Loss 40c","Gain 80c","Prob.01 $1","Prob.5 2c","Social Comp","Ranking","Task Signif"
2004.71272727273,2157.01454545455,1530.09636363636,2110.11272727273,1614.98909090909,1938.22181818182,1951.16363636364,1918.02181818182,2019.68,1985.68727272727,2114.84363636364,2129.05636363636,2181.02909090909,1899.46727272727,2027.47272727273,1816.16181818182,1754.11454545455,1692.49818181818
2015.89636363636,2152.58181818182,1531.56,2183.31090909091,1588.96545454545,1893.00545454545,1907.68727272727,1954.36909090909,1998.42181818182,1924.58545454545,2148.01636363636,2141.72727272727,2213.14727272727,1906.38363636364,1950.93454545455,1842.48727272727,1772.51090909091,1725.40909090909
1983.49818181818,2146.48,1566.34545454545,2126.95636363636,1618.09272727273,1857.05818181818,1856.19272727273,1947.66363636364,2032.41454545455,1930.30545454545,2148.83636363636,2161.39454545455,2173.94363636364,1862.72909090909,1979.80727272727,1860.53636363636,1722.92909090909,1762.23090909091
2087.60727272727,2168.85454545455,1547.16727272727,2191.86363636364,1589.51454545455,1890.93090909091,1975.68727272727,1937.74727272727,2056.62,1952.80545454545,2127.34727272727,2162.58181818182,2181.09818181818,1875.08545454545,1988.84545454545,1867.07090909091,1796.98545454545,1815.91818181818
1986.94181818182,2163.62363636364,1545.49090909091,2174.08363636364,1618.22,1882.92181818182,1898.84545454545,1945.37636363636,1993.78,1979.36,2140.30181818182,2199.10181818182,2184.87818181818,1885.70181818182,2018.21454545455,1833.64181818182,1798.59090909091,1782.18545454545
2000.40727272727,2153.74181818182,1524.59272727273,2117.04181818182,1634.85272727273,1857.89272727273,1871.9,1931.73090909091,2003.39454545455,1999.65454545455,2131.47454545455,2157.11090909091,2227.50727272727,1882.05636363636,1989.82909090909,1833.36909090909,1749.95090909091,1767.44
2043.94545454545,2151.05272727273,1512.20909090909,2143.67818181818,1624.00727272727,1933.63272727273,1908.72181818182,1928.30545454545,1995.66,2014.73272727273,2133.42363636364,2188.51636363636,2199.08545454545,1882.30909090909,1912.88363636364,1823.72545454545,1723.98363636364,1749.49636363636
2019.19454545455,2211.07454545455,1456.59454545455,2120.15636363636,1628.83818181818,1867.16181818182,1916.24545454545,1936.84545454545,1918.33090909091,1974.06181818182,2139.84545454545,2185.89636363636,2194.89818181818,1904.00909090909,1945.25272727273,1848.87090909091,1790.25272727273,1692.92
2029.74,2149.92909090909,1551.87454545455,2162.41818181818,1596.71818181818,1860.97636363636,1844.28545454545,1896.86545454545,2017.08363636364,1970.25636363636,2108.37272727273,2163.62727272727,2220.33454545455,1864.83090909091,1962.80181818182,1845.68363636364,1795.56909090909,1765.69636363636
1982.17090909091,2157.13090909091,1436.42181818182,2139.74909090909,1612.49272727273,1909.74909090909,1891.97818181818,1912.82727272727,1965.98181818182,1965.05636363636,2099.50909090909,2104.11818181818,2208.87636363636,1875.57454545455,1978.62363636364,1879.78,1790.27818181818,1736.69636363636
