="",="(1)",="(2)"
="",="Effort",="Effort"
="gamma",="",=""
="Constant",="0.015641071",="0.015641071"
="",="(3.90889e-03)",="(3.90892e-03)"
="k",="",=""
="Constant",="1.70926702",="1.70926702"
="",="(14.1030520)",="(14.1031424)"
="s",="",=""
="Constant",="3.72225938",="3.72225938"
="",="(8.80682898)",="(8.80688549)"
="gift",="",=""
="Constant",="",="2.34883e-05"
="",="",="(4.69240e-05)"
="beta",="",=""
="Constant",="",="1.23681995"
="",="",="(1.29364572)"
="delta",="",=""
="Constant",="",="0.75419502"
="",="",="(0.24017368)"
="alpha",="",=""
="Constant",="",="3.66606e-03"
="",="",="(0.010834950)"
="a",="",=""
="Constant",="",="0.14267527"
="",="",="(0.14018818)"
="Observations",="1664",="4406"
="R-squared",="0.8976",="0.8953"
="Adjusted R-squared",="0.8974",="0.8951"
="Sample",="Benchmark",="Bench_Social_Time_Gift"
="Cost function",="EXPON",="EXPON"
="Specification",="Bench",="All_nopweight"
="Coef. k scaled up by",="1.00000e+16",="1.00000e+16"
="Coef. s scaled up by",="1000000",="1000000"
="RSS",="709519964.7",="1.86603e+09"
="Root MSE",="653.578104",="651.375897"
="Residual mean square",="427164.338",="424290.559"
="Residual deviance",="26292.8584",="69589.3928"
="\# iterations",="13",="7"
="Predicted effort 1.1",="2026.74731",="2026.74731"
="Predicted effort 1.2",="2173.93994",="2173.93994"
="Predicted effort 1.3",="1521.89819",="1521.89819"
="Predicted effort 1.4",="2115.36108",="2115.36108"
="Predicted effort 2",="1879.74707",="1879.74707"
="Predicted effort 3.1",="2071.05127",="1904.01624"
="Predicted effort 3.2",="2180.03320",="1916.98547"
="Predicted effort 4.1",="2026.74731",="2004.27393"
="Predicted effort 4.2",="2026.74731",="1968.22729"
="Predicted effort 6.1",="2026.74731",="2026.74731"
="Predicted effort 6.2",="2026.74731",="2026.74731"
="Sample average effort:  ''1.1'': 2026,  ''1.2'': 2173,  ''1.3'': 1521,  ''1.4'': 2129,  ''2'': 1883,  ''3.1'': 1904,  ''3.2'': 1916,  ''4.1'': 2004,  ''4.2'': 1968,  ''6.1'': 1895,  ''6.2'': 1977, "
="Sample average log effort:  ''1.1'': 7.521,  ''1.2'': 7.629,  ''1.3'': 7.101,  ''1.4'': 7.602,  ''2'': 7.424,  ''3.1'': 7.46,  ''3.2'': 7.477,  ''4.1'': 7.516,  ''4.2'': 7.489,  ''6.1'': 7.441,  ''6.2'': 7.518, "
