="",="(1)",="(2)"
="",="Log effort",="Log effort"
="gamma",="",=""
="Constant",="20.5461866",="20.5181513"
="",="(5.26551474)",="(5.25138696)"
="k",="",=""
="Constant",="5.11685e-13",="5.71186e-13"
="",="(2.35716e-11)",="(2.59174e-11)"
="s",="",=""
="Constant",="3.16807547",="3.26976748"
="",="(8.15665269)",="(8.38234859)"
="gift",="",=""
="Constant",="",="2.03503e-05"
="",="",="(4.50654e-05)"
="beta",="",=""
="Constant",="",="1.35793462"
="",="",="(1.48899999)"
="delta",="",=""
="Constant",="",="0.74949276"
="",="",="(0.24900114)"
="alpha",="",=""
="Constant",="",="6.44623e-03"
="",="",="(0.015570691)"
="a",="",=""
="Constant",="",="0.18182499"
="",="",="(0.18273708)"
="Observations",="1664",="4406"
="R-squared",="0.9927",="0.9937"
="Adjusted R-squared",="0.9927",="0.9937"
="Sample",="Benchmark",="Bench_Social_Time_Gift"
="Cost function",="POWER",="POWER"
="Specification",="Bench",="All_nopweight"
="Coef. k scaled up by",="1.00000e+57",="1.00000e+57"
="Coef. s scaled up by",="1000000",="1000000"
="RSS",="672.381462",="1542.14078"
="Root MSE",="0.63605161",="0.59208632"
="Residual mean square",="0.40456165",="0.35056621"
="Residual deviance",="3214.38753",="7878.28658"
="\# iterations",="130",="108"
="Predicted effort 1.1",="7.54123211",="7.54617548"
="Predicted effort 1.2",="7.65328693",="7.65838289"
="Predicted effort 1.3",="7.14906549",="7.15501213"
="Predicted effort 1.4",="7.60869265",="7.61372757"
="Predicted effort 2",="7.42930222",="7.43409681"
="Predicted effort 3.1",="7.57496071",="7.46485901"
="Predicted effort 3.2",="7.65792561",="7.47793055"
="Predicted effort 4.1",="7.54123211",="7.53298473"
="Predicted effort 4.2",="7.54123211",="7.50489330"
="Predicted effort 6.1",="7.54123211",="7.54617548"
="Predicted effort 6.2",="7.54123211",="7.54617548"
="Sample average effort:  ''1.1'': 2026,  ''1.2'': 2173,  ''1.3'': 1521,  ''1.4'': 2129,  ''2'': 1883,  ''3.1'': 1904,  ''3.2'': 1916,  ''4.1'': 2004,  ''4.2'': 1968,  ''6.1'': 1895,  ''6.2'': 1977, "
="Sample average log effort:  ''1.1'': 7.521,  ''1.2'': 7.629,  ''1.3'': 7.101,  ''1.4'': 7.602,  ''2'': 7.424,  ''3.1'': 7.46,  ''3.2'': 7.477,  ''4.1'': 7.516,  ''4.2'': 7.489,  ''6.1'': 7.441,  ''6.2'': 7.518, "
