="",="(1)",="(2)",="(3)",="(4)"
="",="Effort",="Effort",="Effort",="Effort"
="k",="",="",="",=""
="Constant",="241393.654",="1.80161e-04",="134.393994",="1.05304693"
="",="(44612.2382)",="(6.61439e-05)",="(977.601791)",="(8.91948397)"
="s",="",="",="",=""
="Constant",="98.6017659",="0.29832984",="16.7259335",="3.13361793"
="",="(35.9509083)",="(0.21637800)",="(34.8960336)",="(7.63302527)"
="gift",="",="",="",=""
="Constant",="3.02956e-04",="2.98790e-06",="8.48347e-05",="2.05700e-05"
="",="(1.88957e-04)",="(2.52039e-06)",="(1.48815e-04)",="(4.22599e-05)"
="beta",="",="",="",=""
="Constant",="1.74479024",="0.94986458",="1.20594997",="1.14636307"
="",="(1.13685341)",="(1.22719151)",="(1.11069926)",="(1.21910505)"
="delta",="",="",="",=""
="Constant",="0.83360051",="0.69732732",="0.78002397",="0.76452343"
="",="(0.16706556)",="(0.27676905)",="(0.21871453)",="(0.24601017)"
="alpha",="",="",="",=""
="Constant",="6.90081e-03",="2.04634e-03",="6.97585e-03",="3.16532e-03"
="",="(0.019934230)",="(5.99494e-03)",="(0.020460666)",="(0.010564375)"
="a",="",="",="",=""
="Constant",="0.43173994",="0.060116069",="0.31269176",="0.13999403"
="",="(0.15649476)",="(0.043424029)",="(0.26982043)",="(0.13968737)"
="gamma",="",="",="",=""
="Constant",="",="",="0.013760471",="0.015858930"
="",="",="",="(3.44582e-03)",="(4.01000e-03)"
="Observations",="4406",="4406",="4406",="4406"
="R-squared",="0.8952",="0.8953",="0.8953",="0.8956"
="Adjusted R-squared",="0.8950",="0.8951",="0.8951",="0.8954"
="Sample",="Bench_Social_Time_Gift",="Bench_Social_Time_Gift",="Bench_Social_Time_Gift",="Bench_Social_Time_Gift"
="Cost function",="",="",="",=""
="Specification",="All_g01",="All_g02",="All_fix088",="All_noround"
="Coef. k scaled up by",="1.00000e+16",="1.00000e+16",="1.00000e+16",="1.00000e+16"
="Coef. s scaled up by",="1000000",="1000000",="1000000",="1000000"
="RSS",="1.86793e+09",="1.86632e+09",="1.86603e+09",="1.86267e+09"
="Root MSE",="651.632987",="651.352270",="651.375897",="650.789240"
="Residual mean square",="424625.550",="424259.780",="424290.559",="423526.635"
="Residual deviance",="69593.8718",="69590.0748",="69589.3928",="69581.4527"
="\# iterations",="15",="13",="22",="12"
="Predicted effort 1.1",="1985.18188",="2042.89404",="2026.74731",="2029.44446"
="Predicted effort 1.2",="2214.55786",="2158.02197",="2173.93994",="2174.61841"
="Predicted effort 1.3",="1522.27563",="1521.89771",="1521.89819",="1520.67969"
="Predicted effort 1.4",="2123.07642",="2112.20752",="2115.35327",="2116.84375"
="Predicted effort 2",="1763.34607",="1927.77820",="1879.95276",="1884.43030"
="Predicted effort 3.1",="1904.01624",="1904.01624",="1904.01624",="1906.99463"
="Predicted effort 3.2",="1916.98547",="1916.98547",="1916.98547",="1918.41528"
="Predicted effort 4.1",="2004.27393",="2004.27393",="2004.27393",="2004.20593"
="Predicted effort 4.2",="1968.22729",="1968.22729",="1968.22729",="1970.36548"
="Predicted effort 6.1",="1985.18188",="2042.89404",="1986.63892",="2029.44446"
="Predicted effort 6.2",="1985.18188",="2042.89404",="2020.70874",="2029.44446"
="Sample average effort:  ''1.1'': 2029,  ''1.2'': 2174,  ''1.3'': 1520,  ''1.4'': 2131,  ''2'': 1883,  ''3.1'': 1906,  ''3.2'': 1918,  ''4.1'': 2004,  ''4.2'': 1970,  ''6.1'': 1895,  ''6.2'': 1977, "
="Sample average log effort: "
