="",="(1)",="(2)",="(3)"
="",="Effort",="Effort",="Effort"
="gamma",="",="",=""
="Constant",="0.013362354",="0.011905889",="7.20097e-03"
="",="(2.38237e-03)",="(2.11095e-03)",="(2.74118e-03)"
="k",="",="",=""
="Constant",="242.253891",="7501.06415",="546248965.3"
="",="(1193.07404)",="(32741.4975)",="(3.50331e+09)"
="s",="",="",=""
="Constant",="16.4492018",="55.5041498",="3139.68925"
="",="(22.6323722)",="(67.8033819)",="(7158.19601)"
="p_weight",="",="",=""
="Constant",="0.23897314",="0.46599931",="4.29606133"
="",="(0.14055687)",="(0.24322521)",="(5.24862315)"
="curv",="",="",=""
="Constant",="",="",="0.46794242"
="",="",="",="(0.23040279)"
="Observations",="2787",="2787",="2787"
="R-squared",="0.9001",="0.9001",="0.9002"
="Adjusted R-squared",="0.9000",="0.9000",="0.9000"
="Sample",="Bench_Prob",="Bench_Prob",="Bench_Prob"
="Cost function",="EXPON",="EXPON",="EXPON"
="Specification",="Curv_fix1",="Curv_fix088",="Curv_estim"
="Coef. k scaled up by",="1.00000e+16",="1.00000e+16",="1.00000e+16"
="Coef. s scaled up by",="1000000",="1000000",="1000000"
="RSS",="1.15737e+09",="1.15719e+09",="1.15668e+09"
="Root MSE",="644.880379",="644.830190",="644.803357"
="Residual mean square",="415870.703",="415805.973",="415771.369"
="Residual deviance",="43963.7279",="43963.2941",="43962.0605"
="\# iterations",="40",="72",="161"
="Predicted effort 1.1",="2001.73181",="2004.82300",="2026.74731"
="Predicted effort 1.2",="2173.93994",="2174.78149",="2173.93994"
="Predicted effort 1.3",="1521.89819",="1521.89453",="1521.89819"
="Predicted effort 1.4",="2105.38574",="2107.09937",="2115.07422"
="Predicted effort 2",="1830.51099",="1836.37488",="1884.03772"
="Predicted effort 3.1",="2053.54346",="2016.59106",="1799.28088"
="Predicted effort 3.2",="2181.07153",="2159.58594",="2019.67810"
="Predicted effort 4.1",="2001.73181",="2004.82300",="2026.74731"
="Predicted effort 4.2",="2001.73181",="2004.82300",="2026.74731"
="Predicted effort 6.1",="1895",="1895",="1895"
="Predicted effort 6.2",="2001.73181",="1997.85986",="1977.15674"
="Sample average effort:  ''1.1'': 2026,  ''1.2'': 2173,  ''1.3'': 1521,  ''1.4'': 2129,  ''2'': 1883,  ''3.1'': 1904,  ''3.2'': 1916,  ''4.1'': 2004,  ''4.2'': 1968,  ''6.1'': 1895,  ''6.2'': 1977, "
="Sample average log effort:  ''1.1'': 7.521,  ''1.2'': 7.629,  ''1.3'': 7.101,  ''1.4'': 7.602,  ''2'': 7.424,  ''3.1'': 7.46,  ''3.2'': 7.477,  ''4.1'': 7.516,  ''4.2'': 7.489,  ''6.1'': 7.441,  ''6.2'': 7.518, "
